sessionId,timestamp,dwellTime,environment,eventType,flightTime,interaction,key,keyboard,mouse,mouseX,mouseY,timing,velocity
2b3e9801-f09f-4336-9624-b4659107927f,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0010859086141694094""},""click_count"":{""N"":""14""},""focus_changes"":{""N"":""11""},""mouse_keyboard_ratio"":{""N"":""8.822222222222223""},""scroll_count"":{""N"":""16""}}",,"{""interval_std_ms"":{""N"":""575.9625600470308""},""backspace_ratio"":{""N"":""0.15555555555555556""},""max_interval_ms"":{""N"":""2241.5""},""mean_interval_ms"":{""N"":""476.2181818187237""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""45""},""min_interval_ms"":{""N"":""44.299999952316284""}}","{""mean_speed"":{""N"":""0.9195230275758098""},""direction_changes"":{""N"":""12""},""speed_std"":{""N"":""1.5246690206090898""},""total_distance"":{""N"":""6076.803491384661""},""total_moves"":{""N"":""397""},""max_speed"":{""N"":""10.134615952900896""},""movement_entropy"":{""N"":""7.238410106071228""},""normalized_distance"":{""N"":""4.133879926112015""},""pause_count"":{""N"":""12""}}",,,"{""session_duration_ms"":{""N"":""37756.39999997616""},""time_to_first_action_ms"":{""N"":""78.20000004768372""},""idle_time_ratio"":{""N"":""0.6142826116938505""}}",
aec19a06-fe20-4b00-b04e-222df4781388,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0005982606930030439""},""click_count"":{""N"":""23""},""focus_changes"":{""N"":""16""},""mouse_keyboard_ratio"":{""N"":""5.655555555555556""},""scroll_count"":{""N"":""27""}}",,"{""interval_std_ms"":{""N"":""1476.4131685967375""},""backspace_ratio"":{""N"":""0.15""},""max_interval_ms"":{""N"":""13578.800000071526""},""mean_interval_ms"":{""N"":""588.0240223467683""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""180""},""min_interval_ms"":{""N"":""19.200000047683716""}}","{""mean_speed"":{""N"":""0.5691737253859687""},""direction_changes"":{""N"":""24""},""speed_std"":{""N"":""1.0736720115363019""},""total_distance"":{""N"":""12262.901656474074""},""total_moves"":{""N"":""1018""},""max_speed"":{""N"":""10.003651634227971""},""movement_entropy"":{""N"":""8.578095920255699""},""normalized_distance"":{""N"":""8.342109970390526""},""pause_count"":{""N"":""29""}}",,,"{""session_duration_ms"":{""N"":""110319.80000007153""},""time_to_first_action_ms"":{""N"":""226.10000002384186""},""idle_time_ratio"":{""N"":""0.6339587272649293""}}",
a648ae3a-85d2-4651-a3ba-9c158855bc24,1.77395E+12,,"{""viewport_height"":{""N"":""1017""},""device_pixel_ratio"":{""N"":""1""},""viewport_width"":{""N"":""2048""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0003802642836771556""},""click_count"":{""N"":""2""},""focus_changes"":{""N"":""2""},""mouse_keyboard_ratio"":{""N"":""1.2954545454545454""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""187.827700040936""},""backspace_ratio"":{""N"":""0.2727272727272727""},""max_interval_ms"":{""N"":""726""},""mean_interval_ms"":{""N"":""202.63023255730783""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""44""},""min_interval_ms"":{""N"":""30.899999976158142""}}","{""mean_speed"":{""N"":""1.3077519082634463""},""direction_changes"":{""N"":""1""},""speed_std"":{""N"":""1.6817108261648435""},""total_distance"":{""N"":""1220.2579419934943""},""total_moves"":{""N"":""57""},""max_speed"":{""N"":""6.743759999664331""},""movement_entropy"":{""N"":""4.870484204034575""},""normalized_distance"":{""N"":""0.5958290732390109""},""pause_count"":{""N"":""0""}}",,,"{""session_duration_ms"":{""N"":""10519""},""time_to_first_action_ms"":{""N"":""52.09999996423721""},""idle_time_ratio"":{""N"":""0.5187280159824327""}}",
0d731cf9-723b-4641-a365-59fd5d0d1fec,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0006219930973229008""},""click_count"":{""N"":""34""},""focus_changes"":{""N"":""25""},""mouse_keyboard_ratio"":{""N"":""5.740088105726873""},""scroll_count"":{""N"":""27""}}",,"{""interval_std_ms"":{""N"":""1367.540589032633""},""backspace_ratio"":{""N"":""0.14537444933920704""},""max_interval_ms"":{""N"":""13578.800000071526""},""mean_interval_ms"":{""N"":""589.3880530975562""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""227""},""min_interval_ms"":{""N"":""19.200000047683716""}}","{""mean_speed"":{""N"":""0.5422123952191673""},""direction_changes"":{""N"":""29""},""speed_std"":{""N"":""0.9893712915980705""},""total_distance"":{""N"":""14425.637199721728""},""total_moves"":{""N"":""1303""},""max_speed"":{""N"":""10.003651634227971""},""movement_entropy"":{""N"":""9.006783776663656""},""normalized_distance"":{""N"":""9.813358639266482""},""pause_count"":{""N"":""35""}}",,,"{""session_duration_ms"":{""N"":""138265.20000004768""},""time_to_first_action_ms"":{""N"":""226.10000002384186""},""idle_time_ratio"":{""N"":""0.6299690739249029""}}",
8fec46e6-40ff-4fef-923d-afbe6f999749,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0008395130824122009""},""click_count"":{""N"":""5""},""focus_changes"":{""N"":""6""},""mouse_keyboard_ratio"":{""N"":""6.4""},""scroll_count"":{""N"":""16""}}",,"{""interval_std_ms"":{""N"":""575.9625600470308""},""backspace_ratio"":{""N"":""0.15555555555555556""},""max_interval_ms"":{""N"":""2241.5""},""mean_interval_ms"":{""N"":""476.2181818187237""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""45""},""min_interval_ms"":{""N"":""44.299999952316284""}}","{""mean_speed"":{""N"":""1.0649665649823334""},""direction_changes"":{""N"":""10""},""speed_std"":{""N"":""1.7025098095328357""},""total_distance"":{""N"":""5022.927638327005""},""total_moves"":{""N"":""288""},""max_speed"":{""N"":""10.134615952900896""},""movement_entropy"":{""N"":""6.803988538807312""},""normalized_distance"":{""N"":""3.416957577093201""},""pause_count"":{""N"":""8""}}",,,"{""session_duration_ms"":{""N"":""32161.5""},""time_to_first_action_ms"":{""N"":""78.20000004768372""},""idle_time_ratio"":{""N"":""0.6624442267906806""}}",
dd8e1837-5811-4585-8295-b16a935b7ec1,1.77395E+12,,"{""viewport_height"":{""N"":""826""},""device_pixel_ratio"":{""N"":""1.25""},""viewport_width"":{""N"":""1536""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.000233590282644242""},""click_count"":{""N"":""2""},""focus_changes"":{""N"":""3""},""mouse_keyboard_ratio"":{""N"":""6""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""791.1279596201947""},""backspace_ratio"":{""N"":""0.12121212121212122""},""max_interval_ms"":{""N"":""4720.799999952316""},""mean_interval_ms"":{""N"":""400.36562499962747""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""33""},""min_interval_ms"":{""N"":""78.89999997615814""}}","{""mean_speed"":{""N"":""0.7968465049509902""},""direction_changes"":{""N"":""5""},""speed_std"":{""N"":""0.9269925693838459""},""total_distance"":{""N"":""2652.566850375732""},""total_moves"":{""N"":""198""},""max_speed"":{""N"":""4.78820374199385""},""movement_entropy"":{""N"":""6.825041110598215""},""normalized_distance"":{""N"":""1.7269315432133672""},""pause_count"":{""N"":""1""}}",,,"{""session_duration_ms"":{""N"":""21405""},""time_to_first_action_ms"":{""N"":""9.899999976158142""},""idle_time_ratio"":{""N"":""0.6003270263957019""}}",
ad8fff4b-6696-4ab9-a800-36ce0041baf3,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0011338861887501216""},""click_count"":{""N"":""16""},""focus_changes"":{""N"":""12""},""mouse_keyboard_ratio"":{""N"":""8.911111111111111""},""scroll_count"":{""N"":""16""}}",,"{""interval_std_ms"":{""N"":""575.9625600470308""},""backspace_ratio"":{""N"":""0.15555555555555556""},""max_interval_ms"":{""N"":""2241.5""},""mean_interval_ms"":{""N"":""476.2181818187237""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""45""},""min_interval_ms"":{""N"":""44.299999952316284""}}","{""mean_speed"":{""N"":""0.915419031792934""},""direction_changes"":{""N"":""12""},""speed_std"":{""N"":""1.5179442667773775""},""total_distance"":{""N"":""6113.110627174027""},""total_moves"":{""N"":""401""},""max_speed"":{""N"":""10.134615952900896""},""movement_entropy"":{""N"":""7.256363628743168""},""normalized_distance"":{""N"":""4.158578657941515""},""pause_count"":{""N"":""13""}}",,,"{""session_duration_ms"":{""N"":""38804.60000002384""},""time_to_first_action_ms"":{""N"":""78.20000004768372""},""idle_time_ratio"":{""N"":""0.6096596795258427""}}",
1d5ae4dc-89ac-41e5-9b2c-d39d4b836559,1.77395E+12,,"{""viewport_height"":{""N"":""925""},""device_pixel_ratio"":{""N"":""1""},""viewport_width"":{""N"":""1919""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0003039310441247159""},""click_count"":{""N"":""2""},""focus_changes"":{""N"":""3""},""mouse_keyboard_ratio"":{""N"":""2.38""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""368.0795307849746""},""backspace_ratio"":{""N"":""0.04""},""max_interval_ms"":{""N"":""2475.0999999996275""},""mean_interval_ms"":{""N"":""284.0061224489758""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""50""},""min_interval_ms"":{""N"":""31""}}","{""mean_speed"":{""N"":""1.193635146607141""},""direction_changes"":{""N"":""1""},""speed_std"":{""N"":""1.212819001161178""},""total_distance"":{""N"":""977.8484767664322""},""total_moves"":{""N"":""119""},""max_speed"":{""N"":""4.843702889070712""},""movement_entropy"":{""N"":""6.219677693176449""},""normalized_distance"":{""N"":""0.5095614782524399""},""pause_count"":{""N"":""1""}}",,,"{""session_duration_ms"":{""N"":""16451.099999999627""},""time_to_first_action_ms"":{""N"":""221.79999999981374""},""idle_time_ratio"":{""N"":""0.5992365252171497""}}",
33da84e0-3f73-40d4-9a0a-eaa06b434e2a,1.77395E+12,,"{""viewport_height"":{""N"":""826""},""device_pixel_ratio"":{""N"":""1.25""},""viewport_width"":{""N"":""1536""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0006391954659767417""},""click_count"":{""N"":""3""},""focus_changes"":{""N"":""3""},""mouse_keyboard_ratio"":{""N"":""4.208333333333333""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""293.49925817493033""},""backspace_ratio"":{""N"":""0""},""max_interval_ms"":{""N"":""1589.7999999523163""},""mean_interval_ms"":{""N"":""231.8608695683272""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""24""},""min_interval_ms"":{""N"":""95.30000007152557""}}","{""mean_speed"":{""N"":""0.637155091608586""},""direction_changes"":{""N"":""4""},""speed_std"":{""N"":""0.6624038298709631""},""total_distance"":{""N"":""1058.5939310532954""},""total_moves"":{""N"":""101""},""max_speed"":{""N"":""2.8263547636487534""},""movement_entropy"":{""N"":""5.961002229435485""},""normalized_distance"":{""N"":""0.6891887571961558""},""pause_count"":{""N"":""3""}}",,,"{""session_duration_ms"":{""N"":""9386.799999952316""},""time_to_first_action_ms"":{""N"":""18.899999976158142""},""idle_time_ratio"":{""N"":""0.3547747901250044""}}",
503ca6d9-94ed-4ffb-9396-1c7b81ff9728,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0008275542461808372""},""click_count"":{""N"":""4""},""focus_changes"":{""N"":""5""},""mouse_keyboard_ratio"":{""N"":""4.488888888888889""},""scroll_count"":{""N"":""16""}}",,"{""interval_std_ms"":{""N"":""575.9625600470308""},""backspace_ratio"":{""N"":""0.15555555555555556""},""max_interval_ms"":{""N"":""2241.5""},""mean_interval_ms"":{""N"":""476.2181818187237""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""45""},""min_interval_ms"":{""N"":""44.299999952316284""}}","{""mean_speed"":{""N"":""0.6058513655824028""},""direction_changes"":{""N"":""4""},""speed_std"":{""N"":""1.161254909140634""},""total_distance"":{""N"":""1930.4700258657986""},""total_moves"":{""N"":""202""},""max_speed"":{""N"":""10.134615952900896""},""movement_entropy"":{""N"":""6.112549675838455""},""normalized_distance"":{""N"":""1.313244915554965""},""pause_count"":{""N"":""6""}}",,,"{""session_duration_ms"":{""N"":""30209.5""},""time_to_first_action_ms"":{""N"":""78.20000004768372""},""idle_time_ratio"":{""N"":""0.6945298664319555""}}",
dea46a9e-dc4f-4cb4-b935-8afe74b7c931,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0002552355185736""},""click_count"":{""N"":""2""},""focus_changes"":{""N"":""2""},""mouse_keyboard_ratio"":{""N"":""2.75""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""289.35104699742396""},""backspace_ratio"":{""N"":""0.07142857142857142""},""max_interval_ms"":{""N"":""1271.3999999761581""},""mean_interval_ms"":{""N"":""299.85555555643856""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""28""},""min_interval_ms"":{""N"":""56.39999997615814""}}","{""mean_speed"":{""N"":""0.32064758695016843""},""direction_changes"":{""N"":""1""},""speed_std"":{""N"":""0.7227140538049952""},""total_distance"":{""N"":""474.6203227567376""},""total_moves"":{""N"":""77""},""max_speed"":{""N"":""3.870967736973599""},""movement_entropy"":{""N"":""4.344677702379292""},""normalized_distance"":{""N"":""0.32287096786172625""},""pause_count"":{""N"":""2""}}",,,"{""session_duration_ms"":{""N"":""15671.800000071526""},""time_to_first_action_ms"":{""N"":""30.200000047683716""},""idle_time_ratio"":{""N"":""0.6770441174639023""}}",
0b06b644-141d-4f59-bf32-1856f40a50b5,1.77395E+12,,"{""viewport_height"":{""N"":""1017""},""device_pixel_ratio"":{""N"":""1""},""viewport_width"":{""N"":""2048""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.00011021409087151792""},""click_count"":{""N"":""3""},""focus_changes"":{""N"":""3""},""mouse_keyboard_ratio"":{""N"":""6.55""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""162.93330075886558""},""backspace_ratio"":{""N"":""0""},""max_interval_ms"":{""N"":""536.5""},""mean_interval_ms"":{""N"":""114.39473684210526""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""20""},""min_interval_ms"":{""N"":""1.199999988079071""}}","{""mean_speed"":{""N"":""3.9084540112622617""},""direction_changes"":{""N"":""9""},""speed_std"":{""N"":""5.476943473666053""},""total_distance"":{""N"":""9102.95651203171""},""total_moves"":{""N"":""131""},""max_speed"":{""N"":""27.17214389210781""},""movement_entropy"":{""N"":""5.934363363947439""},""normalized_distance"":{""N"":""4.444802984390483""},""pause_count"":{""N"":""5""}}",,,"{""session_duration_ms"":{""N"":""54439.5""},""time_to_first_action_ms"":{""N"":""3005""},""idle_time_ratio"":{""N"":""0.936531378869246""}}",
438203ee-9c73-4e3a-aef1-0ea2593606c5,1.77395E+12,,"{""viewport_height"":{""N"":""1017""},""device_pixel_ratio"":{""N"":""1""},""viewport_width"":{""N"":""2048""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.00043472770519697404""},""click_count"":{""N"":""11""},""focus_changes"":{""N"":""10""},""mouse_keyboard_ratio"":{""N"":""2.4285714285714284""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""971.357058596221""},""backspace_ratio"":{""N"":""0.11278195488721804""},""max_interval_ms"":{""N"":""7405.699999988079""},""mean_interval_ms"":{""N"":""352.2765151515151""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""133""},""min_interval_ms"":{""N"":""1.199999988079071""}}","{""mean_speed"":{""N"":""1.0254803014281868""},""direction_changes"":{""N"":""6""},""speed_std"":{""N"":""1.439880784857566""},""total_distance"":{""N"":""5782.056496391933""},""total_moves"":{""N"":""323""},""max_speed"":{""N"":""11.493959766377777""},""movement_entropy"":{""N"":""7.327378197392638""},""normalized_distance"":{""N"":""2.8232697736288737""},""pause_count"":{""N"":""7""}}",,,"{""session_duration_ms"":{""N"":""48306.09999996424""},""time_to_first_action_ms"":{""N"":""52.09999996423721""},""idle_time_ratio"":{""N"":""0.6255255547438201""}}",
fbe10152-e5fa-412b-8136-90ebea0b9fd3,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0009213384967903559""},""click_count"":{""N"":""7""},""focus_changes"":{""N"":""8""},""mouse_keyboard_ratio"":{""N"":""6.466666666666667""},""scroll_count"":{""N"":""16""}}",,"{""interval_std_ms"":{""N"":""575.9625600470308""},""backspace_ratio"":{""N"":""0.15555555555555556""},""max_interval_ms"":{""N"":""2241.5""},""mean_interval_ms"":{""N"":""476.2181818187237""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""45""},""min_interval_ms"":{""N"":""44.299999952316284""}}","{""mean_speed"":{""N"":""1.0543622781483493""},""direction_changes"":{""N"":""10""},""speed_std"":{""N"":""1.696856034955929""},""total_distance"":{""N"":""5025.927638327005""},""total_moves"":{""N"":""291""},""max_speed"":{""N"":""10.134615952900896""},""movement_entropy"":{""N"":""6.806734407413271""},""normalized_distance"":{""N"":""3.4189983934197317""},""pause_count"":{""N"":""9""}}",,,"{""session_duration_ms"":{""N"":""33646.700000047684""},""time_to_first_action_ms"":{""N"":""78.20000004768372""},""idle_time_ratio"":{""N"":""0.66492107695389""}}",
cf10e50d-0c65-42b2-8c98-18c9bf75ba8a,1.77395E+12,,"{""viewport_height"":{""N"":""1017""},""device_pixel_ratio"":{""N"":""1""},""viewport_width"":{""N"":""2048""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.00043117498633201887""},""click_count"":{""N"":""13""},""focus_changes"":{""N"":""12""},""mouse_keyboard_ratio"":{""N"":""2.4240506329113924""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""932.5784290797219""},""backspace_ratio"":{""N"":""0.0949367088607595""},""max_interval_ms"":{""N"":""7405.699999988079""},""mean_interval_ms"":{""N"":""357.8070063693508""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""158""},""min_interval_ms"":{""N"":""1.199999988079071""}}","{""mean_speed"":{""N"":""1.0623508375574673""},""direction_changes"":{""N"":""8""},""speed_std"":{""N"":""1.5363094696742632""},""total_distance"":{""N"":""7118.94458260039""},""total_moves"":{""N"":""383""},""max_speed"":{""N"":""11.493959766377777""},""movement_entropy"":{""N"":""7.519059576366808""},""normalized_distance"":{""N"":""3.476047159472847""},""pause_count"":{""N"":""8""}}",,,"{""session_duration_ms"":{""N"":""57981.09999996424""},""time_to_first_action_ms"":{""N"":""52.09999996423721""},""idle_time_ratio"":{""N"":""0.6173046044318248""}}",
9af82ca1-4b21-4a78-8c71-5670f394941a,1.77395E+12,,"{""viewport_height"":{""N"":""1017""},""device_pixel_ratio"":{""N"":""1""},""viewport_width"":{""N"":""2048""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0003621801173468048""},""click_count"":{""N"":""4""},""focus_changes"":{""N"":""3""},""mouse_keyboard_ratio"":{""N"":""1.8275862068965518""},""scroll_count"":{""N"":""0""}}",,"{""interval_std_ms"":{""N"":""966.2436395008967""},""backspace_ratio"":{""N"":""0.20689655172413793""},""max_interval_ms"":{""N"":""7405.699999988079""},""mean_interval_ms"":{""N"":""307.39999999916347""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""58""},""min_interval_ms"":{""N"":""5.699999988079071""}}","{""mean_speed"":{""N"":""1.0383731676369692""},""direction_changes"":{""N"":""2""},""speed_std"":{""N"":""1.702926663901625""},""total_distance"":{""N"":""2086.7256593308757""},""total_moves"":{""N"":""106""},""max_speed"":{""N"":""11.493959766377777""},""movement_entropy"":{""N"":""5.524428057585339""},""normalized_distance"":{""N"":""1.0189090133451542""},""pause_count"":{""N"":""2""}}",,,"{""session_duration_ms"":{""N"":""19327.399999976158""},""time_to_first_action_ms"":{""N"":""52.09999996423721""},""idle_time_ratio"":{""N"":""0.6437285925700916""}}",
7040345b-5cf1-4d0a-bda3-8d8c42d95a77,1.77395E+12,,"{""viewport_height"":{""N"":""774""},""device_pixel_ratio"":{""N"":""2""},""viewport_width"":{""N"":""1470""},""timezone_offset"":{""N"":""300""}}",behavior_payload,,"{""interaction_rate"":{""N"":""0.0011083022392961944""},""click_count"":{""N"":""15""},""focus_changes"":{""N"":""11""},""mouse_keyboard_ratio"":{""N"":""8.822222222222223""},""scroll_count"":{""N"":""16""}}",,"{""interval_std_ms"":{""N"":""575.9625600470308""},""backspace_ratio"":{""N"":""0.15555555555555556""},""max_interval_ms"":{""N"":""2241.5""},""mean_interval_ms"":{""N"":""476.2181818187237""},""paste_detected"":{""BOOL"":false},""total_keystrokes"":{""N"":""45""},""min_interval_ms"":{""N"":""44.299999952316284""}}","{""mean_speed"":{""N"":""0.9195230275758098""},""direction_changes"":{""N"":""12""},""speed_std"":{""N"":""1.5246690206090898""},""total_distance"":{""N"":""6076.803491384661""},""total_moves"":{""N"":""397""},""max_speed"":{""N"":""10.134615952900896""},""movement_entropy"":{""N"":""7.238410106071228""},""normalized_distance"":{""N"":""4.133879926112015""},""pause_count"":{""N"":""12""}}",,,"{""session_duration_ms"":{""N"":""37895.800000071526""},""time_to_first_action_ms"":{""N"":""78.20000004768372""},""idle_time_ratio"":{""N"":""0.6120229682471218""}}",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
